Date,Open,High,Low,Close,% Change,Volume
7/1987,0.91,1.05,0.89,0.99,0.0852,1034198496
6/1987,0.92,0.94,0.82,0.92,0.003,1201334448
5/1987,0.97,0.99,0.82,0.91,-0.0666,906224016
4/1987,0.80,1.00,0.80,0.98,0.1975,1599945600
3/1987,0.79,0.88,0.71,0.82,0.032799999999999996,1420502448
2/1987,0.66,0.80,0.65,0.79,0.2161,1742361600
1/1987,0.43,0.65,0.43,0.65,0.488,1794550464
12/1986,0.47,0.49,0.43,0.44,-0.087,667625760
11/1986,0.42,0.48,0.41,0.48,0.1358,445084944
10/1986,0.41,0.45,0.38,0.42,0.0384,710627376
9/1986,0.48,0.48,0.39,0.41,-0.1521,675587232
8/1986,0.39,0.51,0.34,0.48,0.26039999999999996,605875344
7/1986,0.48,0.48,0.36,0.38,-0.2066,876585696
6/1986,0.57,0.57,0.45,0.48,-0.1559,665638608
5/1986,0.59,0.62,0.53,0.57,-0.044000000000000004,575878560
4/1986,0.54,0.65,0.51,0.59,0.0962,932713776
3/1986,0.58,0.61,0.53,0.54,-0.063,837328176
2/1986,0.59,0.67,0.58,0.58,-0.0177,1237056096
1/1986,0.61,0.65,0.55,0.59,-0.034300000000000004,922022592
12/1985,0.59,0.65,0.57,0.61,0.0263,613526592
11/1985,0.53,0.62,0.51,0.59,0.1176,759020928
10/1985,0.54,0.55,0.43,0.53,-0.0097,781289760
9/1985,0.54,0.57,0.51,0.54,-0.0096,501689712
8/1985,0.59,0.63,0.52,0.54,-0.0795,429385776
7/1985,0.54,0.62,0.53,0.59,0.0864,732256128
6/1985,0.55,0.57,0.47,0.54,-0.0144,881836944
5/1985,0.57,0.59,0.52,0.55,-0.0407,555174576
4/1985,0.58,0.61,0.55,0.57,-0.009000000000000001,411059376
3/1985,0.58,0.59,0.51,0.58,-0.0089,520684944
2/1985,0.64,0.67,0.57,0.58,-0.0894,499766544
1/1985,0.58,0.68,0.57,0.64,0.09820000000000001,649718544
12/1984,0.59,0.61,0.52,0.58,-0.0177,509859408
11/1984,0.58,0.62,0.56,0.59,0.027200000000000002,512102544
10/1984,0.65,0.69,0.55,0.58,-0.1048,770941056
9/1984,0.75,0.76,0.62,0.65,-0.1389,543680160
8/1984,0.64,0.78,0.64,0.75,0.1804,692915328
7/1984,0.63,0.65,0.53,0.64,0.0083,557862576
6/1984,0.65,0.71,0.59,0.63,-0.0204,511561776
5/1984,0.73,0.79,0.62,0.64,-0.11779999999999999,515296176
4/1984,0.75,0.75,0.64,0.73,-0.0277,488864208
3/1984,0.78,0.79,0.71,0.75,-0.0335,484224192
